Note,Octave,Exact_Frequency_Hz,Lower_Limit_Hz,Upper_Limit_Hz,Semitones_From_Sa
S,Lower,120.00,116.58,123.52,-12
R1,Lower,127.14,123.52,130.86,-11
R2,Lower,134.70,130.86,138.64,-10
R3,Lower,142.70,138.64,146.89,-9
G1,Lower,134.70,130.86,138.64,-10
G2,Lower,142.70,138.64,146.89,-9
G3,Lower,151.19,146.89,155.62,-8
M1,Lower,160.18,155.62,164.87,-7
M2,Lower,169.71,164.87,174.68,-6
P,Lower,179.80,174.68,185.07,-5
D1,Lower,190.49,185.07,196.07,-4
D2,Lower,201.82,196.07,207.73,-3
D3,Lower,213.82,207.73,220.08,-2
N1,Lower,201.82,196.07,207.73,-3
N2,Lower,213.82,207.73,220.08,-2
N3,Lower,226.53,220.08,233.17,-1
Ṡ,Lower,240.00,233.17,247.03,0
S,Middle,240.00,233.17,247.03,0
R1,Middle,254.27,247.03,261.72,1
R2,Middle,269.39,261.72,277.28,2
R3,Middle,285.41,277.28,293.77,3
G1,Middle,269.39,261.72,277.28,2
G2,Middle,285.41,277.28,293.77,3
G3,Middle,302.38,293.77,311.24,4
M1,Middle,320.36,311.24,329.75,5
M2,Middle,339.41,329.75,349.36,6
P,Middle,359.59,349.36,370.13,7
D1,Middle,380.98,370.13,392.14,8
D2,Middle,403.63,392.14,415.46,9
D3,Middle,427.63,415.46,440.16,10
N1,Middle,403.63,392.14,415.46,9
N2,Middle,427.63,415.46,440.16,10
N3,Middle,453.06,440.16,466.34,11
Ṡ,Middle,480.00,466.34,494.07,12
S,Upper,480.00,466.34,494.07,12
R1,Upper,508.54,494.07,523.44,13
R2,Upper,538.78,523.44,554.57,14
R3,Upper,570.82,554.57,587.55,15
G1,Upper,538.78,523.44,554.57,14
G2,Upper,570.82,554.57,587.55,15
G3,Upper,604.76,587.55,622.48,16
M1,Upper,640.72,622.48,659.50,17
M2,Upper,678.82,659.50,698.71,18
P,Upper,719.19,698.71,740.26,19
D1,Upper,761.95,740.26,784.28,20
D2,Upper,807.26,784.28,830.92,21
D3,Upper,855.26,830.92,880.32,22
N1,Upper,807.26,784.28,830.92,21
N2,Upper,855.26,830.92,880.32,22
N3,Upper,906.12,880.32,932.67,23
Ṡ,Upper,960.00,932.67,988.13,24
